"Collection Name","Title#1","Name#1","Name Role Term Text#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Abstract#2","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Name#5","Subject Name URI#5","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Title#1","Subject Title URI#1","Subject Genre#1","Subject Genre URI#1","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item Location#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Vincent Comparetto Collection","Alexander Hacke, Audience, House ov Where","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2017","","","","1 black and white photograph; 4592 x 3064 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","Group portrait of approximately 20 people in a room watching Alexander and Wife perform music.","[caption by photographer:] Location: Thee Haus Ov Where; Date: 2017; Event: Alexander Hacke and Wife; Notes: Alexander (Einstürzende Neubauten) and Danielle de Picciotto (Crime and The City Solution) performing an intimate show at the great DIY space. Note in attendance print maker, designer, activist, and lecturer Rick Griffith.","","Concerts","http://id.worldcat.org/fast/874069","Alternative rock music","http://id.worldcat.org/fast/806181","Indie music","http://id.loc.gov/authorities/subjects/sh96004375","Performing arts--Audiences","http://id.worldcat.org/fast/1057889","","","Griffith, Rick","http://id.loc.gov/authorities/names/no2022022282","Hacke, Alexander","http://id.loc.gov/authorities/names/no2006105582","EinstÃ¼rzende Neubauten (Musical group)","http://id.loc.gov/authorities/names/n93040214","De Picciotto, Danielle","http://id.loc.gov/authorities/names/no2011119053","Crime & the City Solution (Musical group)","http://id.loc.gov/authorities/names/no98017525","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Thee Haus ov Where? (defunct music venue)","local","","","","","narv_vincentComparetto_alexander_hacke_audience_house_2017.tif","https://ark.colorado.edu/ark:/47540/5v6r3991q48c","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","1","1247550","5223","narv_vincentComparetto_alexander_hacke_audience_house_2017.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~1~1247550"
"Vincent Comparetto Collection","Back lot, 7th Circle","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2018","","","","1 color photograph; 4592 x 3448 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","People in shadows, next to a wall with graffiti, outside the 7th Circle Music Collective.","[caption by photographer:] Location: 7th Circle Music Collective; Date: 2018; Event: Product Lust show with a few other bands; Notes: It was snowing, a very young very positive crowd. Steam was billowing out the side door into the yard littered with detritus and graffiti. 7th Circle is one of the longest running DIY spaces in Denver. The collective runs the space in such a socialized, organized, and democratic way through out the year there could be on average, 5 shows per week celebrating both local and touring bands.","","Concerts","http://id.worldcat.org/fast/874069","Alternative rock music","http://id.worldcat.org/fast/806181","Indie music","http://id.loc.gov/authorities/subjects/sh96004375","Graffiti","http://id.worldcat.org/fast/945846","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","7th Circle Music Collective (DIY music venue)","local","","","","","narv_vincentComparetto_7th_circle_back_lot_2018.tif","https://ark.colorado.edu/ark:/47540/2r5g5h38142t","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","2","1247552","5223","narv_vincentComparetto_7th_circle_back_lot_2018.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~2~1247552"
"Vincent Comparetto Collection","Back lot, 7th Circle","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2018","","","","1 color photograph; 4592 x 3448 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","People in shadows, next to a wall with graffiti, outside the 7th Circle Music Collective.","[caption by photographer:] Location: 7th Circle Music Collective; Date: 2018; Event: Product Lust show with a few other bands; Notes: It was snowing, a very young very positive crowd. Steam was billowing out the side door into the yard littered with detritus and graffiti. 7th Circle is one of the longest running DIY spaces in Denver. The collective runs the space in such a socialized, organized, and democratic way through out the year there could be on average, 5 shows per week celebrating both local and touring bands.","","Concerts","http://id.worldcat.org/fast/874069","Alternative rock music","http://id.worldcat.org/fast/806181","Indie music","http://id.loc.gov/authorities/subjects/sh96004375","Graffiti","http://id.worldcat.org/fast/945846","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","7th Circle Music Collective (DIY music venue)","local","","","","","narv_vincentComparetto_7th_circle_back_lot_pic_2_2018.tif","https://ark.colorado.edu/ark:/47540/m8853d76593w","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","3","1247551","5223","narv_vincentComparetto_7th_circle_back_lot_pic_2_2018.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~3~1247551"
"Vincent Comparetto Collection","Big Queer Dance Party Part II, Unknown group, Glob","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2016","","","","1 color photograph; 4592 x 3448 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","Group portrait of three Black people and two white people posing at the Big Queer Dance Party.","[caption by photographer:] Location: Glob; Date: 2015; Event: Big Queer Dance Party; Notes: A super dope looking group of people pose for the Big Queer Dance Party.","","LGBTQ+ events","https://homosaurus.org/v3/homoit0000861","Gay and lesbian dance parties","http://id.worldcat.org/fast/1736745","Black people","http://id.worldcat.org/fast/833880","White people","local","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Glob (art center)","local","Big Queer Dance Party","local","Portraits","http://id.worldcat.org/fast/1423831","narv_vincentComparetto_unknown_group_queer_dance_party_2015.tif","https://ark.colorado.edu/ark:/47540/bj423f9363nb","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","4","1247522","5223","narv_vincentComparetto_unknown_group_queer_dance_party_2015.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~4~1247522"
"Vincent Comparetto Collection","Born Dumb setting up, Club Scum","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2016","","","","1 color photograph; 4285 x 3161 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","White woman adjusting a drum kit in the Club Scum concert venue.","[caption by photographer:] Location: Club Scum; Date: 2016; Event: Born Dumb 2016; Notes: Born Dumb setting up drums at great DIY space Club Scum.","","Women drummers (Musicians), White","http://id.loc.gov/authorities/subjects/sh98000833","Alternative rock music","http://id.worldcat.org/fast/806181","Noise rock (Music)","http://id.worldcat.org/fast/2010845","","","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Club Scum (defunct music venue)","local","","","","","narv_vincentComparetto_born_dumb_club_scum_2016.tif","https://ark.colorado.edu/ark:/47540/j77m9s56f5nj","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","5","1247549","5223","narv_vincentComparetto_born_dumb_club_scum_2016.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~5~1247549"
"Vincent Comparetto Collection","Brazil, Big Queer Dance Party","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2015","","","","1 black and white photograph; 4592 x 3448 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","White person holding what appears to be a magician's wand, posing with their back to the camera.","[caption by photographer:] Location: Glob; Date: 2015; Event: Big Queer Dance Party; Notes: Anonymous portrait","","LGBTQ+ events","https://homosaurus.org/v3/homoit0000861","Gay and lesbian dance parties","http://id.worldcat.org/fast/1736745","White people","local","","","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Glob (art center)","local","Big Queer Dance Party","local","Portraits","http://id.worldcat.org/fast/1423831","narv_vincentComparetto_brazil_big_queer_dance_party_2015.tif","https://ark.colorado.edu/ark:/47540/311h2822621w","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","","","","","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","6","1247548","5223","narv_vincentComparetto_brazil_big_queer_dance_party_2015.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~6~1247548"
"Vincent Comparetto Collection","Colin Ward, Rhinoceropolis","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2014","","","","1 color photograph; 3872 x 2592 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","Colin Ward, white artist and event organizer in the Denver community, opening a refrigerator door at Rhinoceropolis.","[caption by photographer:] Location: Rhinoceropolis; Date: 2014; Notes: A show I attended with Tom Murphy. We were the only ones there and the artist’s van broke down on the way to Denver so they never showed up. I was sitting at a table when Colin Ward, (one of the main organizers, musicians, and curators of the venue) was getting something out of the fridge. Colin was an instrumental figure in the DIY community. He contributed greatly to the scene as an artist, musician, and event organizer. His passing in 2018 sent shock waves through the community. A foundation was set up in his honor the Colin Richard Ferguson Ward Fund. Rest in peace friend.","","Concerts","http://id.worldcat.org/fast/874069","Male artists, White","local","","","","","","","Ward, Colin, 1990-2018","local","Murphy, Tom","local","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Rhinoceropolis (defunct music venue)","local","","","","","narv_vincentComparetto_colin_ward_rip_rhinoceropolis_2014.tif","https://ark.colorado.edu/ark:/47540/553r1w19q7gn","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","","","","","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","7","1247547","5223","narv_vincentComparetto_colin_ward_rip_rhinoceropolis_2014.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~7~1247547"
"Vincent Comparetto Collection","DIY Spaces and subculture, Denver, Colorado: Photography and words","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Mixed material","http://id.loc.gov/vocabulary/resourceTypes/mix","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","New York (N.Y.)","Abstract City (Firm)","2021","1996/2019","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","44 pages","exhibition catalogs","http://vocab.getty.edu/page/aat/300026096","Booklet containing 44 photographs about the DIY music scene in Denver, Colorado during the late 1990s and early 2000s.","","","Indie culture","http://id.worldcat.org/fast/1746866","Concerts","http://id.worldcat.org/fast/874069","LGBTQ+ events","https://homosaurus.org/v3/homoit0000861","","","","","","","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","","","Big Queer Dance Party","local","Portraits","http://id.worldcat.org/fast/1423831","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","","","","","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","8","1247545","5223","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~8~1247545"
"Vincent Comparetto Collection","Echo Beds, House Ov Where","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2016","","","","1 black and white photograph; 4592 x 3448 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","Keith Curts, white musician for the band Echo Beds, is playing guitar and singing into a microphone.","[caption by photographer:] Location: Thee Haus Ov Where; Date: 2016; Event: Echo Beds Keith Curts; Notes: Echo Beds was a fantastic industrial group found by Keith Kurts and Tom Nelsen.","","Concerts","http://id.worldcat.org/fast/874069","Indie music","http://id.loc.gov/authorities/subjects/sh96004375","Nu-metal (Music)","http://id.loc.gov/authorities/subjects/sh2002002710","Male musicians, White","local","","","Kurts, Keith","local","Nelsen, Tom","local","Echo Beds (Musical group)","local","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Thee Haus ov Where? (defunct music venue)","local","","","","","narv_vincentComparetto_keith_kurts_echo_beds_house_2016.tif","https://ark.colorado.edu/ark:/47540/5n6q5f70m03q","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","9","1247537","5223","narv_vincentComparetto_keith_kurts_echo_beds_house_2016.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~9~1247537"
"Vincent Comparetto Collection","Eddie (RIP), Big Queer Dance Party, Glob","Comparetto, Vincent","Photographers","http://id.loc.gov/authorities/names/no2022039269","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Documentary photographs","http://id.loc.gov/authorities/genreForms/gf2017027230","","","","2016","","","","1 color photograph; 2700 x 3879 pixels","digital photography (digital camera)","http://vocab.getty.edu/page/aat/300386812","Eddie sitting in a chair for a portrait. He is wearing a mask over his face.","[caption by photographer:] Location: Glob Date: 2015; Event: Big Queer Dance party; Note: Eddie posing at the portrait area I set up. His shoes were amazing and we were pretty psyched on his look. I loved his energy and he had a great laugh. Miss you Eddie. Rest in peace.","","LGBTQ+ events","https://homosaurus.org/v3/homoit0000861","Gay and lesbian dance parties","http://id.worldcat.org/fast/1736745","","","","","","","Eddie","local","","","","","","","","","Denver (Denver, Colorado, United States, North America) (populated place)","GNIS: 201738","Glob (art center)","local","Big Queer Dance Party","local","Portraits","http://id.worldcat.org/fast/1423831","narv_vincentComparetto_eddie_rip_big_queer_dance_party_2015.tif","https://ark.colorado.edu/ark:/47540/8q324n5284jb","University of Colorado Boulder Libraries Rare and Distinctive Collections","COU:5050","DIY Spaces and subculture, Denver, Colorado: Photography and words","isReferencedBy","narv_vincentComparetto_diy_photography_1996_2019.pdf","https://ark.colorado.edu/ark:/47540/4b5b5610x79b","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","born digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC-EDU/1.0/","10","1247544","5223","narv_vincentComparetto_eddie_rip_big_queer_dance_party_2015.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~43~43~10~1247544"
